id;nom_bailleur;budget_prevu;budget_depense;budget_restant;nbre_pc
1;ouch hirsute;11813;32041.51;8289.65;7132
2;dehors plic commis de cuisine;23225.56;16320.58;11204.58;15200
3;à l'encontre de de façon que;24979.93;7937.16;11401.72;467
4;analyser partenaire;1212.06;32503.3;8269.4;23510
5;tchou tchouu propre;13579.04;12486.23;30460.25;19632
6;placide énorme outre;23862.98;30238.02;1912.63;8581
7;au lieu de;2369.69;3780.87;16131.15;30789
8;sitôt triathlète;25212.73;2531.94;2466.43;26042
9;mairie;5628.76;18411.98;18619.18;30368
10;d'abord;289.9;10309.16;26809.56;1221
