id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;MINE_CARRIERES;2024-06-05;2024-06-04;2024-06-05;SOUMIS
2;DEVELOPPEMENT_TERRITORIAL;2024-06-04;2024-06-04;2024-06-05;APPROUVE
3;INFORMATIQUE_ET_NUMERIQUE;2024-06-05;2024-06-05;2024-06-05;REJETE
4;DEVELOPPEMENT_TERRITORIAL;2024-06-05;2024-06-05;2024-06-04;REJETE
5;RESTAURATION_ET_HOTELLORIE;2024-06-05;2024-06-04;2024-06-05;REJETE
6;RESTAURATION_ET_HOTELLORIE;2024-06-04;2024-06-05;2024-06-05;REJETE
7;ELEVAGE;2024-06-05;2024-06-04;2024-06-04;SOUMIS
8;MINE_CARRIERES;2024-06-05;2024-06-04;2024-06-05;SOUMIS
9;PECHE;2024-06-05;2024-06-05;2024-06-05;APPROUVE
10;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;2024-06-05;2024-06-05;2024-06-05;REJETE
