id;offre_formation;date_debut_offre;date_fin_offre;date_depot;resultat
1;BATIMAT_TRAVAUX_PUBLIQUES;2024-06-04;2024-06-04;2024-06-04;REJETE
2;HYDRAULIQUE;2024-06-05;2024-06-04;2024-06-05;APPROUVE
3;HYDRAULIQUE;2024-06-05;2024-06-05;2024-06-05;REJETE
4;ELEVAGE;2024-06-04;2024-06-05;2024-06-05;VALIDE
5;MINE_CARRIERES;2024-06-05;2024-06-05;2024-06-05;REJETE
6;BATIMAT_TRAVAUX_PUBLIQUES;2024-06-04;2024-06-05;2024-06-05;APPROUVE
7;MINE_CARRIERES;2024-06-05;2024-06-05;2024-06-04;REJETE
8;ELEVAGE;2024-06-04;2024-06-04;2024-06-05;SOUMIS
9;ENVIRONNEMENT;2024-06-05;2024-06-04;2024-06-04;VALIDE
10;ELEVAGE;2024-06-05;2024-06-04;2024-06-05;REJETE
