id;intitule;domaine;niveau;mention;annee_obtention;etablissement;document;document_content_type
1;membre de l’équipe;ELEVAGE;BTS2;PASSABLE;étudier;jusqu’à ce que;../fake-data/blob/hipster.png;image/png
2;manier contre population du Québec;AGRICULTURE;BEP;PASSABLE;déjà;oh résonner;../fake-data/blob/hipster.png;image/png
3;parce que nonobstant occuper;PECHE;CHEFEQUIPE;ASSEZ_BIEN;gestionnaire promouvoir;rapide ouch rectangulaire;../fake-data/blob/hipster.png;image/png
4;membre du personnel à l'insu de;INFORMATIQUE_ET_NUMERIQUE;CAP1;TRES_BIEN;après étant donné que d'avec;large comme;../fake-data/blob/hipster.png;image/png
5;hôte sage recourir;BATIMAT_TRAVAUX_PUBLIQUES;TITRE_PROFESSIONNEL;PASSABLE;sage;aux alentours de altruiste après que;../fake-data/blob/hipster.png;image/png
6;ronron depuis camarade;ELEVAGE;BTS;PASSABLE;assurer;plouf cadre;../fake-data/blob/hipster.png;image/png
7;avant planter de la part de;TOURISME;CQP;PASSABLE;sitôt que sus chut;rectorat coupable;../fake-data/blob/hipster.png;image/png
8;pourvu que areu areu encourager;STRUCTURE_PLASTIQUE;LICEMCE3;TRES_BIEN;camarade;tic-tac;../fake-data/blob/hipster.png;image/png
9;grrr;AGROALIMENTAIRE;BEP2;TRES_BIEN;personnel;badaboum;../fake-data/blob/hipster.png;image/png
10;en dedans de;ELECTROTECHNIQUE_ELECTRIQUE_ENERGETIQUE;EQUIVALENT_BAC;PASSABLE;même si guide;aussitôt drôlement ça;../fake-data/blob/hipster.png;image/png
