id;nom_etablissement;photo;photo_content_type;region;departement;email;telephone;type_etablissement;statut;autre_region;autre_departement;cfp;lycee;filiere;serie;autre_filiere;autre_serie;autre_nom_etablissement
1;CFP_FANDA;../fake-data/blob/hipster.png;image/png;SAINT_LOUIS;MBOUR;Leonie_Benoit@hotmail.fr;18834;LYCEE_TECH;PUBLIC;comment;probablement de manière à ce que;CFP_TAMBA;LTCAN_KAOLACK;INFORMATIQUE_ET_NUMERIQUE;STIDD_E;population du Québec au-dehors;vouh près de;atchoum moderne
2;LTPFXN_THIES;../fake-data/blob/hipster.png;image/png;KOLDA;BAMBAEY;Jacques.Vidal@yahoo.fr;18101;LYCEE_TECH;PRIVE;incalculable expliquer de peur que;serviable;CFP_KOLDA;LTID_DAKAR;AGRICULTURE;S3;y;traiter si bien que mériter;reconnaître dans à la faveur de
3;CFP_MONT_ROLLAND;../fake-data/blob/hipster.png;image/png;LOUGA;DAGANA;Daniel.Laurent@hotmail.fr;6749;LYCEE_TECH;PUBLIC;population du Québec;meuh;CFP_KEDOUGOU;LTIM_KEDOUGOU;DEVELOPPEMENT_TERRITORIAL;AUTRES;rectorat;encore;concernant
4;CRFP_ZIGUINCHOR;../fake-data/blob/hipster.png;image/png;DAKAR;SALAMATA;Gonthier_Roger@hotmail.fr;14550;CFP;PRIVE;quand recevoir mairie;depuis porte-parole insérer;CEP_THIES;LTCD_DAKAR;INFORMATIQUE_ET_NUMERIQUE;AUTRES;ha hors personnel professionnel;touriste;auparavant boire
5;CRFP_SAINT_LOUIS;../fake-data/blob/hipster.png;image/png;KAOLACK;PIKINE;Agrippin_Noel28@gmail.com;2758;LYCEE_TECH;PRIVE;insuffisamment athlète;adversaire smack guère;CFP_KOUNKANE;LTPFXN_THIES;STRUCTURE_PLASTIQUE;S4;bondir parce que parer;au lieu de poursuivre;parlementaire porter
6;CFP_NDIAGANIAO;../fake-data/blob/hipster.png;image/png;ZIGINCHOR;GUINGUINEO;Scholastique_Vincent13@yahoo.fr;13466;LYCEE_TECH;PUBLIC;conseil municipal vlan survivre;guide ensemble de façon que;CFP_SOKONE;LTID_DAKAR;INSDUSTRIE_CULTURELLE_ET_CREATIVE;STIDD_M;neutre terne occuper;toutefois;éclaircir commis chez
7;CFP_BIGNONA;../fake-data/blob/hipster.png;image/png;TAMBACOUNDA;GOUDIRY;Eloise.Dubois12@gmail.com;6620;CFP;PUBLIC;prouver;claquer à moins de à l'instar de;MBOUMBA;LTAP_SAINT_LOUIS;HABILLEMENT;S5;penser;quitte à chut puis;divinement même si vroum
8;CFP_GOSSAS;../fake-data/blob/hipster.png;image/png;LOUGA;DAGANA;Basilisse_Thomas@hotmail.fr;9169;CFP;PUBLIC;cot cot;grâce à à moins de pendant que;CFP_DAKAR;LT_FATICK;INSDUSTRIE_CULTURELLE_ET_CREATIVE;S3;aussitôt au-dessous;devant;comme alors que à travers
9;CFP_KIDIRA;../fake-data/blob/hipster.png;image/png;DAKAR;AUTRE;Francois_Masson47@gmail.com;1902;LYCEE_TECH;PUBLIC;pendant que;diplomate;CFP_KIDIRA;LTIM_KEDOUGOU;AUTRES;STIDD_M;sitôt que creuser contre;aujourd'hui administration pour que;pourvu que pendant que
10;CFP_KANEL;../fake-data/blob/hipster.png;image/png;THIES;DIOURBEL;Luc7@hotmail.fr;19434;LYCEE_TECH;PUBLIC;bè;hôte vu que;CFP_TENDOUCK;LTPFXN_THIES;HABILLEMENT;S5;aux alentours de pas mal de peur que;insulter;au prix de tremper collègue
