id;nom_formation;image_formation;image_formation_content_type;type_formation;duree;admission;diplome_requis;fiche_formation;fiche_formation_content_type
1;quasiment quand;../fake-data/blob/hipster.png;image/png;CONTINUE;assurément volontiers loufoque;CONCOURS;DUR;../fake-data/blob/hipster.png;image/png
2;pendant que jeune enfant calme;../fake-data/blob/hipster.png;image/png;INITIALE;tic-tac selon comme;CONCOURS;DNBA;../fake-data/blob/hipster.png;image/png
3;procurer blablabla vouh;../fake-data/blob/hipster.png;image/png;CONTINUE;à la faveur de cadre;PC;LICENCE;../fake-data/blob/hipster.png;image/png
4;secours;../fake-data/blob/hipster.png;image/png;CONTINUE;rudement guide;PC;MASTER;../fake-data/blob/hipster.png;image/png
5;hier;../fake-data/blob/hipster.png;image/png;INITIALE;sans que;CONCOURS;AUTRES;../fake-data/blob/hipster.png;image/png
6;dans la mesure où terriblement alors que;../fake-data/blob/hipster.png;image/png;INITIALE;naguère comment à côté de;PC;LICENCE;../fake-data/blob/hipster.png;image/png
7;désormais;../fake-data/blob/hipster.png;image/png;INITIALE;quelquefois dring pin-pon;CONCOURS;BAC;../fake-data/blob/hipster.png;image/png
8;dessous flatter avex;../fake-data/blob/hipster.png;image/png;INITIALE;en face de devant rembourser;PC;MASTER;../fake-data/blob/hipster.png;image/png
9;athlète compliquer;../fake-data/blob/hipster.png;image/png;INITIALE;confronter déclarer dévoiler;PC;DUR;../fake-data/blob/hipster.png;image/png
10;craindre;../fake-data/blob/hipster.png;image/png;INITIALE;après que;PC;DUR;../fake-data/blob/hipster.png;image/png
