id;nom_formation_c;duree;admission;diplome_requis;niveau_etude;filiere;serie;cfp;lycee;fiche_formation;fiche_formation_content_type;libelle_pc;montant_prise_en_charge;cout_formation;detail_pc;nom_diplome;autre_diplome;nom_debouche
1;secours chef de cuisine crac;mairie;PC;LICENCE;CAP1;HABILLEMENT;F6;CFP_MBOUR;LTCD_DAKAR;../fake-data/blob/hipster.png;image/png;suivant perplexe vorace;4410.99;4211.21;../fake-data/blob/hipster.txt;BT;aujourd'hui hors dispenser;ébranler hi
2;devant vlan;ouille pourvu que conseil municipal;CONCOURS;AUTRES;AUTRES;HYDRAULIQUE;S4;CFP_KEBEMER;LTAP_SAINT_LOUIS;../fake-data/blob/hipster.png;image/png;pff;28681.79;32761.9;../fake-data/blob/hipster.txt;METP;informer biathlète assez;comment sous cuicui
3;ouille derrière;bien que parmi dynamique;CONCOURS;LICENCE;BT2;HABILLEMENT;STIDD_E;CFP_BAMBEY;LTPFXN_THIES;../fake-data/blob/hipster.png;image/png;biathlète;24506.1;8529.93;../fake-data/blob/hipster.txt;BT;afin de si;recourir terriblement de la part de
4;pour que à bas de avant-hier;fade insuffisamment dès que;CONCOURS;CAP;BTS1;RESTAURATION_ET_HOTELLORIE;STIDD_M;CFP_JOAL;LEFP_KOLDA;../fake-data/blob/hipster.png;image/png;ci probablement d'entre;16743.95;4142.28;../fake-data/blob/hipster.txt;METP;rose après que secours;triathlète après que
5;tchou tchouu;autrement prestataire de services égoïste;CONCOURS;ATTESTATION;CPS;MINE_CARRIERES;S3;CFP_NIAGA;LEFP_KOLDA;../fake-data/blob/hipster.png;image/png;triathlète;3492.67;17539.08;../fake-data/blob/hipster.txt;CQP;détailler vroum alors que;abandonner
6;de façon que ensemble;sitôt que;PC;BAC;LICENCE2;TOURISME;S3;CFP_PODOR;LTAEB_BIGNONA;../fake-data/blob/hipster.png;image/png;vouh;10843.56;17435.82;../fake-data/blob/hipster.txt;CAEP;atchoum sitôt;sur
7;a lunatique;même si si bien que;CONCOURS;CAP;BT;RESTAURATION_ET_HOTELLORIE;S3;SINTHIOU_BAMBAMBE;LTSLL_DAKAR;../fake-data/blob/hipster.png;image/png;puisque;8704.64;30954.53;../fake-data/blob/hipster.txt;BEP;adversaire;équipe de recherche
8;grrr à l'entour de miam;infime calme afin que;PC;ATTESTATION;ATTESTATION;MECANIQUE;AUTRES;CFP_FANDA;LTAB_DIOURBEL;../fake-data/blob/hipster.png;image/png;au point que selon déjà;996.17;404.76;../fake-data/blob/hipster.txt;CQP;communiquer;délégation
9;fade de sorte que;dans;CONCOURS;BEP;BAC;MENUISERIE_BOIS;STIDD_E;CFP_SOKONE;LT_FATICK;../fake-data/blob/hipster.png;image/png;avant de ici;29586.46;22645.91;../fake-data/blob/hipster.txt;CQP;oh sans que;triste ouch remonter
10;sale naguère contre;évaluer de sorte que;CONCOURS;CAP;BTS;INFORMATIQUE_ET_NUMERIQUE;STEG;CFP_RANEROU;LEFP_KOLDA;../fake-data/blob/hipster.png;image/png;tantôt dring;15607.92;19619.2;../fake-data/blob/hipster.txt;METP;habile tant;autour
