id;nom_formation_i;duree;admission;diplome_requis;niveau_etude;fiche_formation;fiche_formation_content_type;filiere;serie;cfp;lycee;nom_concours;date_ouverture;date_cloture;date_concours;nom_diplome;nom_debouche
1;en dedans de rédaction;atchoum;PC;BT;BEP1;../fake-data/blob/hipster.png;image/png;MINE_CARRIERES;STIDD_M;CFP_KEBEMER;LTCD_DAKAR;pschitt au point que considérer;2024-06-05;2024-06-05;2024-06-05;BTS;de façon à de peur que du moment que
2;ouah;pourvu que détourner;PC;MASTER;LICENCE2;../fake-data/blob/hipster.png;image/png;MENUISERIE_BOIS;STEG;CFP_KAFFRINE;LTAP_SAINT_LOUIS;vivace;2024-06-05;2024-06-04;2024-06-04;CAP;rose rose propre
3;clac commissionnaire cadre;blablabla chez cueillir;CONCOURS;BEP;CINQUIEME;../fake-data/blob/hipster.png;image/png;PECHE;S5;CFP_KOLDA;LTCAN_KAOLACK;encore dessous de sorte que;2024-06-04;2024-06-04;2024-06-04;BTI;au cas où
4;actionnaire présidence;imaginer espiègle égoïste;CONCOURS;DNBA;CAP1;../fake-data/blob/hipster.png;image/png;AUTRES;AUTRES;CFP_BIRKELANE;LTCAN_KAOLACK;obéir circulaire;2024-06-04;2024-06-05;2024-06-05;CAP;puisque
5;atchoum;turquoise;PC;ATTESTATION;BEP1;../fake-data/blob/hipster.png;image/png;ARTISANAT;F6;CFP_TAMBA;LTIM_KEDOUGOU;ha délégation;2024-06-05;2024-06-04;2024-06-05;CAEP;hystérique puisque renverser
6;autour de;raide dynamique diplomate;PC;LICENCE;EQUIVALENT_BFEM;../fake-data/blob/hipster.png;image/png;AGROALIMENTAIRE;S3;CFP_LINGUERE;LTID_DAKAR;ouin aimable;2024-06-05;2024-06-05;2024-06-04;BTI;fier
7;de la part de tantôt;afin de oui garder;PC;CAP;BTS1;../fake-data/blob/hipster.png;image/png;MECANIQUE;STIDD_M;CFP_POROKHANE;LT_FATICK;insolite en dedans de altruiste;2024-06-04;2024-06-05;2024-06-05;BEP;prestataire de services partenaire
8;caractériser;en dépit de vouh;CONCOURS;DUR;BTS;../fake-data/blob/hipster.png;image/png;AGRICULTURE;STIDD_E;CFP_ZIGUINCHOR;LTPFXN_THIES;sans que;2024-06-05;2024-06-05;2024-06-04;METP;au-dedans de ferme
9;clac;derrière sage;CONCOURS;BT;CAP1;../fake-data/blob/hipster.png;image/png;BATIMAT_TRAVAUX_PUBLIQUES;F6;CFP_LOUL_SESSENE;LTIM_KEDOUGOU;incalculable;2024-06-05;2024-06-05;2024-06-05;AUTRES;dorénavant pendant que dessous
10;débile fonctionnaire;renvoyer noter équipe;CONCOURS;BFEM;BTS2;../fake-data/blob/hipster.png;image/png;INSDUSTRIE_CULTURELLE_ET_CREATIVE;STIDD_E;CFP_TAIBA_NDIAYE;LTIM_KEDOUGOU;vaste;2024-06-05;2024-06-05;2024-06-05;BTI;énorme
