id;image_service;image_service_content_type;nom_service;chef_service;description
1;../fake-data/blob/hipster.png;image/png;miaou;pis blême;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.png;image/png;adorable ouah davantage;longtemps oui délectable;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.png;image/png;très là-haut;cocorico zzzz;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.png;image/png;membre du personnel conseil municipal corps enseignant;pourvu que;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.png;image/png;quand;du fait que;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.png;image/png;administration aussitôt;diviser;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.png;image/png;planter conseil d’administration équipe de recherche;pacifique simplifier;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.png;image/png;diététiste insuffisamment au défaut de;de façon que areu areu;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.png;image/png;résumer;chauffer bientôt en faveur de;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.png;image/png;sitôt que;devant foule;../fake-data/blob/hipster.txt
